State,Bigfoot,Wilderness,Pop,Wild.k,Pop.m
Alabama,27,41367,4779736,41.37,4.78
Alaska,45,57425992,710231,57425.99,0.71
Arizona,18,4517618,6392017,4517.62,6.39
Arkansas,52,153655,2915918,153.66,2.92
California,549,14944697,37253956,14944.70,37.25
Colorado,34,3699235,5029196,3699.24,5.03
Connecticut,9,0,3574097,0.00,3.57
Delaware,0,0,897934,0.00,0.90
Florida,174,1422247,18801310,1422.25,18.80
Georgia,35,486530,9687653,486.53,9.69
Hawaii,0,155509,1360301,155.51,1.36
Idaho,69,4522506,1567582,4522.51,1.57
Illinois,34,32113,12830632,32.11,12.83
Indiana,52,12463,6483802,12.46,6.48
Iowa,35,0,3046355,0.00,3.05
Kansas,19,0,2853118,0.00,2.85
Kentucky,42,18132,4339367,18.13,4.34
Louisiana,31,17025,4533372,17.03,4.53
Maine,16,18625,1328361,18.63,1.33
Maryland,226,0,5773552,0.00,5.77
Massachusetts,18,3244,6547629,3.24,6.55
Michigan,94,291153,9883640,291.15,9.88
Minnesota,55,819121,5303925,819.12,5.30
Mississippi,21,10126,2967297,10.13,2.97
Missouri,29,71282,5988927,71.28,5.99
Montana,102,3443407,989415,3443.41,0.99
Nebraska,7,12429,1826341,12.43,1.83
Nevada,4,3373414,2700551,3373.41,2.70
New Hampshire,8,138618,1316470,138.62,1.32
New Jersey,48,10341,8791894,10.34,8.79
New Mexico,16,1653461,2059179,1653.46,2.06
New York,77,1380,19378102,1.38,19.38
North Carolina,30,111419,9535483,111.42,9.54
North Dakota,6,39652,672591,39.65,0.67
Ohio,216,77,11536504,0.08,11.54
Oklahoma,42,23113,3751351,23.11,3.75
Oregon,346,2476115,3831074,2476.12,3.83
Pennsylvania,274,9002,12702379,9.00,12.70
Rhode Island,1,0,1052567,0.00,1.05
South Carolina,29,67371,4625364,67.37,4.63
South Dakota,32,77570,814180,77.57,0.81
Tennessee,39,66349,6346105,66.35,6.35
Texas,75,85333,25145561,85.33,25.15
Utah,24,1160347,2763885,1160.35,2.76
Vermont,28,101019,625741,101.02,0.63
Virginia,33,214904,8001024,214.90,8.00
Washington,513,4463093,6724540,4463.09,6.72
West Virginia,17,118810,1852994,118.81,1.85
Wisconsin,27,79943,5686986,79.94,5.69
Wyoming,12,3111232,563626,3111.23,0.56
